subj date trialcsv
Julian 2023-04-12 salient_movieclip_wajd_Julian_202304_12130145.csv
Julian 2023-04-14 salient_movieclip_wajd_Julian_202304_14131314.csv
Julian 2023-04-14 salient_movieclip_wajd_Julian_202304_14131018.csv
Julian 2023-04-17 salient_movieclip_wajd_Julian_202304_17132328.csv
Julian 2023-04-17 salient_movieclip_wajd_Julian_202304_17130834.csv
Julian 2023-04-17 salient_movieclip_wajd_Julian_202304_17131653.csv
Julian 2023-04-18 salient_movieclip_wajd_Julian_202304_18133109.csv
Julian 2023-04-18 salient_movieclip_wajd_Julian_202304_18132129.csv
Julian 2023-04-20 salient_movieclip_wajd_Julian_202304_20133433.csv
Julian 2023-04-20 salient_movieclip_wajd_Julian_202304_20133359.csv
Julian 2023-04-20 salient_movieclip_wajd_Julian_202304_20132620.csv
Julian 2023-04-21 salient_movieclip_wajd_Julian_202304_21130628.csv
Julian 2023-04-21 salient_movieclip_wajd_Julian_202304_21131153.csv
Julian 2023-04-26 salient_movieclip_wajd_Julian_202304_26132527.csv
Julian 2023-04-26 salient_movieclip_wajd_Julian_202304_26133130.csv
Julian 2023-04-26 salient_movieclip_wajd_Julian_202304_26133734.csv
Julian 2023-04-27 salient_movieclip_wajd_Julian_202304_27131418.csv
Julian 2023-04-27 salient_movieclip_wajd_Julian_202304_27131940.csv
Julian 2023-04-27 salient_movieclip_wajd_Julian_202304_27130919.csv
Julian 2023-04-28 salient_movieclip_wajd_Julian_202304_28130753.csv
Julian 2023-05-08 salient_movieclip_wajd_Julian_202305_08124615.csv
Julian 2023-05-08 salient_movieclip_wajd_Julian_202305_08125006.csv
Julian 2023-05-08 salient_movieclip_wajd_Julian_202305_08125721.csv
Julian 2023-05-09 salient_movieclip_wajd_Julian_202305_09162652.csv
Julian 2023-05-09 salient_movieclip_wajd_Julian_202305_09163214.csv
Julian 2023-05-09 salient_movieclip_wajd_Julian_202305_09162012.csv
Julian 2023-05-10 salient_movieclip_wajd_Julian_202305_10125332.csv
Julian 2023-05-10 salient_movieclip_wajd_Julian_202305_10130954.csv
